# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416385903;21463072;243061352;91.89;115036;39545680;207833024;76.15
axle;60;1416385963;20213984;244310440;92.36;115128;39830340;208797052;76.51
axle;60;1416386023;18761820;245762604;92.91;115216;39407664;210732248;77.22
axle;60;1416386083;20627040;243897384;92.20;115332;39611880;208730708;76.48
axle;60;1416386143;16010232;248514192;93.95;115432;39457728;213406360;78.20
axle;60;1416386203;20130324;244394100;92.39;115532;39495060;209200680;76.66
axle;60;1416386263;20518684;244005740;92.24;115636;39510620;208806576;76.51
axle;60;1416386323;19924232;244600192;92.47;115736;39734920;209197700;76.65
