Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

09:30:43 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:31:43 AM     all     42.64      0.00     14.16      0.03      0.00     43.18
09:32:43 AM     all     42.22      0.00     14.84      0.00      0.00     42.94
09:33:43 AM     all     42.62      0.00     15.02      0.01      0.00     42.35
09:34:43 AM     all     42.95      0.00     12.95      0.00      0.00     44.10
09:35:43 AM     all     44.51      0.00     12.47      0.00      0.00     43.01
09:36:43 AM     all     45.86      0.00     11.67      0.00      0.00     42.47
09:37:43 AM     all     42.19      0.00      9.59      0.00      0.00     48.22
09:38:43 AM     all     38.03      0.00     11.17      0.01      0.00     50.80
