# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit
axle;60;1416385233;27983260;236541164;89.42;113532;33227020;207728412;76.12
axle;60;1416385293;27540676;236983748;89.59;113596;33243436;208163812;76.28
axle;60;1416385353;24677420;239847004;90.67;113704;35237884;209119540;76.63
axle;60;1416385413;26008720;238515704;90.17;113792;35314492;207591568;76.07
axle;60;1416385473;25976200;238548224;90.18;113860;35319220;207630752;76.08
axle;60;1416385533;24224900;240299524;90.84;113992;37228636;207478696;76.02
axle;60;1416385593;24214372;240310052;90.85;114028;37229756;207478696;76.02
axle;60;1416385653;22078984;242445440;91.65;114100;39308320;207540980;76.05
axle;60;1416385713;21905892;242618532;91.72;114184;39543036;207477588;76.02
