Linux 3.0.101-0.15-default (axle) 	11/19/2014 	_x86_64_

09:19:33 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
09:20:33 AM     all      5.45      0.00      7.13      0.06      0.00     87.36
09:21:33 AM     all      6.83      0.00      7.02      0.00      0.00     86.15
09:22:33 AM     all      6.53      0.00      6.38      0.01      0.00     87.09
09:23:33 AM     all      7.00      0.00      6.10      0.01      0.00     86.90
09:24:33 AM     all      5.70      0.00      1.83      0.01      0.00     92.46
09:25:33 AM     all      4.15      0.00      2.28      0.00      0.00     93.56
09:26:33 AM     all      5.91      0.00      0.36      0.00      0.00     93.72
09:27:33 AM     all      4.54      0.00      1.82      0.00      0.00     93.64
09:28:33 AM     all      4.45      0.00      1.97      0.00      0.00     93.58
